2022-05-04 18:35:37.426 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8909161312723586
2022-05-04 18:35:37.429 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 28.27819841926839
2022-05-04 18:35:37.429 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.814070725091487
2022-05-04 18:35:37.430 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 54.852814619513694
2022-05-04 18:35:37.431 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - For Date: 01/01/2022
2022-05-04 18:35:37.431 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root1DiseaseCell
2022-05-04 18:35:37.431 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.431 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.002
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root2DiseaseCell
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.002
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice1DiseaseCell
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.002
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice2DiseaseCell
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.002
2022-05-04 18:35:37.432 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.442 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8288818472281179
2022-05-04 18:35:37.442 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.7890093382528263
2022-05-04 18:35:37.443 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8546948198690312
2022-05-04 18:35:37.443 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8491256730019137
2022-05-04 18:35:37.443 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8857927034984912
2022-05-04 18:35:37.444 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.9671694768445416
2022-05-04 18:35:37.445 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8244402703013207
2022-05-04 18:35:37.446 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.7034369656016315
2022-05-04 18:35:37.446 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8170454882603755
2022-05-04 18:35:37.447 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.810915362283295
2022-05-04 18:35:37.447 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8951782057003483
2022-05-04 18:35:37.448 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.940885268574482
2022-05-04 18:35:37.448 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8569716335873259
2022-05-04 18:35:37.449 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.752253655562726
2022-05-04 18:35:37.449 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.794571853197396
2022-05-04 18:35:37.450 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.6997583982540971
2022-05-04 18:35:37.450 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.7622314432039297
2022-05-04 18:35:37.451 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.7291207657843461
2022-05-04 18:35:37.451 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.9401265988548717
2022-05-04 18:35:37.452 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.6964209199746867
2022-05-04 18:35:37.452 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.888814728915582
2022-05-04 18:35:37.452 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.7453189103603637
2022-05-04 18:35:37.453 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8282092265494716
2022-05-04 18:35:37.453 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.909120243519494
2022-05-04 18:35:37.453 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.772125524975293
2022-05-04 18:35:37.454 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8016833992905017
2022-05-04 18:35:37.454 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.7418130763957207
2022-05-04 18:35:37.454 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8231603164642718
2022-05-04 18:35:37.455 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 1.8483755486945597
2022-05-04 18:35:37.455 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 2.014577164553528
2022-05-04 18:35:37.455 [main] INFO  org.javeriana.world.layer.shortWaveRadiation.ShortWaveRadiationCellState - New short wave radiation state: 4.921276876349419
2022-05-04 18:35:37.456 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.842045746169592
2022-05-04 18:35:37.456 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.227021727935295
2022-05-04 18:35:37.456 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 28.082138368861273
2022-05-04 18:35:37.457 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 26.80696891759177
2022-05-04 18:35:37.457 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.625247874267
2022-05-04 18:35:37.458 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.018358213422637
2022-05-04 18:35:37.458 [main] INFO  org.javeriana.world.layer.temperature.TemperatureCell - New temperature state: 27.27821050414561
